Station_ID,Site_Name,Date ,Time,Time_Zone,Sample_Type,Temperature_Water,Specific_Conductance,pH,Nitrate_plus_nitrite,RC_Organic_Carbon,Organic_Carbon,RC_Calcium_wf,Calcium_wf,RC_Magnesium_wf,Magnesium_wf,RC_Sodium_wf,Sodium_wf,RC_Potassium_wf,Potassium_wf,Chloride_wf,RC_Sulfate_wf,Sulfate_wf,RC_Fluoride_wf,Fluoride_wf,RC_Silica_wf,Silica_wf,RC_Arsenic_wf,Arsenic_wf,RC_Arsenic_wu,Arsenic_wu,RC_Cadmium_wf,Cadmium_wf,RC_Cadmium_wu,Cadmium_wu,RC_Copper_wf,Copper_wf,RC_Copper_wu,Copper_wu,RC_Iron_wu,Iron_wu,RC_Iron_wf,Iron_wf,RC_Lead_wf,Lead_wf,RC_Lead_wu,Lead_wu,RC_Manganese_wu,Manganese_wu,RC_Manganese_wf,Manganese_wf,RC_Zinc_wf,Zinc_wf,RC_Zinc_wu,Zinc_wu,RC_Alkalinity_lab,Alkalinity_lab,RC_Turbidity_lab,Turbidity_lab,Suspended_Sediment_percent_finer_than_0.0625_mm,RC_Suspended_Sediment_Concentration,Suspended_Sediment_Concentration
12331800,"Clark Fork near Drummond, MT",8/18/2021,12:45,MDT,Environmental,15.4,523,8.13,NA,NA,NA,NA,73.3,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94,NA,10.5,NA,0.05,NA,0.08,NA,3.72,NA,10.1,NA,198,NA,7.15,NA,0.08,NA,1.19,NA,70.1,NA,11.2,NA,3.36,NA,13.3,NA,NA,NA,NA,NA,NA,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",10/15/2020,11:55,MDT,Environmental,7.1,347,8.2,NA,NA,NA,NA,40.7,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,NA,5.36,NA,0.03,NA,0.08,NA,2.98,NA,8.87,NA,264,NA,8.86,NA,0.05,NA,1.38,NA,46.3,NA,7.61,NA,3.1,NA,15.9,NA,NA,NA,NA,84,NA,14
12334550,"Clark Fork at Turah Bridge near Bonner, MT",3/24/2021,11:40,MDT,Environmental,4.4,357,8.17,NA,NA,NA,NA,45.7,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,NA,7.37,NA,0.04,NA,0.14,NA,3.84,NA,18.3,NA,521,NA,20,NA,0.11,NA,2.76,NA,76.1,NA,16.3,NA,4.96,NA,27.7,NA,NA,NA,NA,83,NA,25
12334550,"Clark Fork at Turah Bridge near Bonner, MT",4/14/2021,12:30,MDT,Environmental,4.1,311,8.25,NA,NA,NA,NA,37.9,NA,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,NA,4.94,NA,0.06,NA,0.08,NA,2.21,NA,9.99,NA,309,NA,21.1,NA,0.07,NA,1.56,NA,40,NA,10.4,NA,3.2,NA,14.6,NA,NA,NA,NA,85,NA,13
12334550,"Clark Fork at Turah Bridge near Bonner, MT",5/6/2021,12:00,MDT,Environmental,10.4,200,8.14,NA,NA,NA,NA,24.5,NA,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,NA,4.83,NA,0.05,NA,0.1,NA,2.59,NA,14.1,NA,762,NA,36.8,NA,0.11,NA,2.69,NA,59.8,NA,6.02,NA,2.35,NA,25.9,NA,NA,NA,NA,50,NA,44
12334550,"Clark Fork at Turah Bridge near Bonner, MT",5/19/2021,13:15,MDT,Environmental,9.4,147,7.92,NA,NA,NA,NA,18.5,NA,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,NA,4.06,<,0.03,NA,0.09,NA,2.41,NA,14.6,NA,680,NA,35,NA,0.08,NA,2.45,NA,58.3,NA,5.22,NA,2.28,NA,21.1,NA,NA,NA,NA,56,NA,51
12334550,"Clark Fork at Turah Bridge near Bonner, MT",5/19/2021,13:20,MDT,Field Replicate,9.4,147,7.92,NA,NA,NA,NA,19.3,NA,4.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,NA,3.99,<,0.03,NA,0.09,NA,2.39,NA,12.8,NA,620,NA,36.8,NA,0.08,NA,2.28,NA,58.7,NA,5.49,NA,2.19,NA,21.8,NA,NA,NA,NA,59,NA,46
12334550,"Clark Fork at Turah Bridge near Bonner, MT",5/19/2021,13:25,MDT,Laboratory Replicate,NA,147,7.92,NA,NA,NA,NA,19.4,NA,4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86,NA,4.08,<,0.03,NA,0.1,NA,2.3,NA,13.4,NA,615,NA,37.4,NA,0.08,NA,2.3,NA,57.8,NA,5.48,NA,2.31,NA,21.5,NA,NA,NA,NA,NA,NA,NA
12334550,"Clark Fork at Turah Bridge near Bonner, MT",6/9/2021,13:30,MDT,Environmental,13.3,183,8.12,NA,NA,NA,NA,22.1,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,NA,5.6,NA,0.03,NA,0.1,NA,3.49,NA,17.4,NA,342,NA,24.1,NA,0.1,NA,2.31,NA,47.6,NA,6.71,NA,2.75,NA,20.6,NA,NA,NA,NA,64,NA,31
12334550,"Clark Fork at Turah Bridge near Bonner, MT",7/14/2021,11:30,MDT,Environmental,17.9,288,8.38,NA,NA,NA,NA,37.5,NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49,NA,4.89,<,0.03,<,0.03,NA,2.51,NA,3.47,NA,34.5,NA,7.49,NA,0.03,NA,0.15,NA,8.46,NA,4.23,<,2,NA,2.63,NA,NA,NA,NA,81,NA,2
